accessed date,accessed datetime,time,time (bin),Day of the month,Day of the Week,Day Name,Weekend,Month,Month Name,SDoH,PHQ9,CAGE-AID,GAD7,Total Websites,SDoH Percentage,PHQ9 Percentage,CAGE-AID Percentage,GAD7 Percentage
1/27/2025,2025-01-27T19:33:37.5574060,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:33:38.6442440,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:33:40.8756830,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,2,0,0,0,0
1/27/2025,2025-01-27T19:41:40.6766080,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:42:25.4331420,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:43:38.1571330,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:43:51.6648770,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:44:39.7438980,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:45:14.4412750,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:46:32.0501020,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:46:48.6590150,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:48:03.2441170,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T19:48:41.8014420,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,1,0,1,0,0,1,0
1/27/2025,2025-01-27T19:49:41.4694520,19,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
