accessed datetime,year,month name,month number,day of month,weekday number,weekday name,weekend (y/n),hour,Hour (bins),Hour (for bin use),PHQ-9 (Sum by day),GAD-7 (Sum by day),SDoH (Sum by day),CAGE-AID (Sum by day),Total Websites (Sum by day),PHQ-9 Daily Sum / Website Sum,SDoH Daily Sum / Website Sum,GAD-7 Daily Sum / Website Sum,CAGE-AID Daily Sum / Website Sum
2025-04-23T23:35:44.6910000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.35,0,0,0,0,1,0,0,0,0
2025-04-23T23:36:32.5330000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.36,0,0,0,0,1,0,0,0,0
2025-04-23T23:36:52.4780000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.36,0,0,0,0,3,0,0,0,0
2025-04-23T23:37:05.3310000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.37,0,0,0,0,5,0,0,0,0
2025-04-23T23:37:15.0290000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.37,0,0,0,0,2,0,0,0,0
2025-04-23T23:37:23.5340000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.37,0,0,0,0,3,0,0,0,0
2025-04-23T23:38:13.1870000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.38,0,0,0,0,2,0,0,0,0
2025-04-23T23:38:16.2220000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.38,0,0,0,0,2,0,0,0,0
2025-04-23T23:40:30.3820000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.4,0,0,0,0,3,0,0,0,0
2025-04-23T23:40:41.9000000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.4,0,0,0,0,1,0,0,0,0
2025-04-23T23:41:40.7270000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.41,0,0,0,0,2,0,0,0,0
2025-04-23T23:48:56.1760000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.48,0,0,0,0,1,0,0,0,0
2025-04-23T23:50:07.4110000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.5,0,0,0,0,2,0,0,0,0
2025-04-23T23:55:27.7690000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.55,0,0,0,0,2,0,0,0,0
2025-04-23T23:56:39.7570000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.56,0,0,0,0,1,0,0,0,0
2025-04-23T23:58:02.1300000,2025,April,4,23,3,Wednesday,No,23,After 6PM,23.58,0,0,0,0,1,0,0,0,0
